THETA2_deg,A_x,A_y,B_x,B_y,MCF_x,MCF_y,M4_x,M4_y,J2_x,J2_y,P_x,P_y,S1_x,S1_y,S2_x,S2_y,P2_x,P2_y,P3_x,P3_y,IFP_x,IFP_y,IFD_x,IFD_y,TIP_x,TIP_y,CRK3_x,CRK3_y,ROK3_x,ROK3_y,theta_fp_deg,theta_fm_deg,theta_fd_deg,DIP_rel_deg
10.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.1347,18.2709,43.4683,6.0777,2.7811,33.3825,-28.0706,-4.2104,-41.0429,-5.0584,-51.9734,28.1911,-96.6563,1.5934,-57.8956,-23.1963,-82.5102,-31.5703,-97.5820,-50.2476,-63.6755,-28.7274,-65.4809,-37.4015,183.7401,198.7887,231.0978,32.3091
11.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.2939,18.1992,43.3570,6.6783,2.4079,33.5888,-28.1581,-4.3167,-41.1255,-5.2369,-52.3003,27.9312,-96.8117,1.0474,-57.8771,-23.4683,-82.4320,-32.0158,-97.3646,-50.8045,-63.6261,-29.0315,-65.3598,-37.7202,184.0589,199.1928,231.5236,32.3308
12.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.4524,18.1262,43.2352,7.2769,2.0296,33.7930,-28.2455,-4.4240,-41.2075,-5.4166,-52.6282,27.6677,-96.9649,0.4968,-57.8570,-23.7413,-82.3504,-32.4632,-97.1416,-51.3635,-63.5748,-29.3365,-65.2359,-38.0394,184.3790,199.6004,231.9535,32.3531
13.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.6102,18.0517,43.1030,7.8733,1.6463,33.9950,-28.3325,-4.5322,-41.2888,-5.5975,-52.9569,27.4003,-97.1160,-0.0583,-57.8352,-24.0153,-82.2654,-32.9127,-96.9131,-51.9244,-63.5216,-29.6425,-65.1092,-38.3591,184.7004,200.0114,232.3875,32.3761
14.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.7674,17.9759,42.9604,8.4673,1.2577,34.1945,-28.4193,-4.6413,-41.3694,-5.7795,-53.2866,27.1291,-97.2649,-0.6180,-57.8118,-24.2903,-82.1771,-33.3641,-96.6789,-52.4873,-63.4664,-29.9494,-64.9797,-38.6792,185.0230,200.4259,232.8256,32.3997
15.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-17.9240,17.8987,42.8074,9.0587,0.8640,34.3915,-28.5059,-4.7513,-41.4493,-5.9628,-53.6171,26.8541,-97.4115,-1.1824,-57.7868,-24.5662,-82.0852,-33.8175,-96.4389,-53.0521,-63.4093,-30.2572,-64.8473,-38.9997,185.3470,200.8439,233.2679,32.4240
16.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.0798,17.8201,42.6442,9.6473,0.4651,34.5858,-28.5921,-4.8623,-41.5284,-6.1472,-53.9484,26.5751,-97.5558,-1.7515,-57.7601,-24.8430,-81.9897,-34.2729,-96.1931,-53.6188,-63.3502,-30.5658,-64.7120,-39.3205,185.6722,201.2655,233.7146,32.4491
17.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.2350,17.7402,42.4707,10.2330,0.0610,34.7772,-28.6780,-4.9742,-41.6068,-6.3327,-54.2806,26.2921,-97.6978,-2.3252,-57.7317,-25.1207,-81.8907,-34.7302,-95.9413,-54.1874,-63.2891,-30.8753,-64.5737,-39.6417,185.9986,201.6908,234.1657,32.4749
18.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.3894,17.6590,42.2870,10.8156,-0.3484,34.9656,-28.7636,-5.0870,-41.6845,-6.5194,-54.6136,26.0050,-97.8372,-2.9037,-57.7016,-25.3993,-81.7880,-35.1895,-95.6835,-54.7577,-63.2260,-31.1856,-64.4325,-39.9631,186.3263,202.1198,234.6212,32.5014
19.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-18.5432,17.5763,42.0932,11.3949,-0.7630,35.1509,-28.8489,-5.2007,-41.7613,-6.7073,-54.9473,25.7138,-97.9742,-3.4870,-57.6698,-25.6788,-81.6815,-35.6506,-95.4195,-55.3298,-63.1609,-31.4967,-64.2883,-40.2847,186.6552,202.5526,235.0813,32.5287
